nome_modelo,Real,Previsto
ViTime_fixed_10_min,81,80.70126681334185
,81,80.30519959324968
,81,79.23286997083429
,81,77.96447707740688
,80,77.4066586651459
,80,76.49609812674072
,80,75.47704146209124
,80,74.69831695703554
,80,74.08732399213633
,80,73.78382021352256
,80,73.61879034141735
,80,73.41366932569703
,81,73.25652975564883
,80,73.110277371092
,80,72.99977288565063
,79,72.653252647353
,79,72.26682465681462
,78,71.52771268861659
,79,70.83502110292862
,78,70.33716272415646
,79,69.9385459166649
,78,69.74609232465518
,78,69.61848323883625
,78,69.65861016613414
,79,69.75471619220956
,78,69.87422474683504
,78,70.01315489529928
,78,70.2232095862854
,78,70.4996698466244
,78,70.89600544433755
,78,71.34004963714148
,78,71.53236009442001
,77,71.66763583427849
,77,71.77106856940685
,79,71.91226203580807
,79,72.35883792416999
,79,72.94691591319726
,79,73.617609479885
,79,74.3191351622638
,78,74.73394855918191
,79,75.10065974049846
,79,75.16318725322806
,79,75.1664077846799
,78,75.04948907409694
,78,74.89332013644464
,78,74.64544209274077
,78,74.38493688196945
,78,74.03066947634599
,77,73.67300709381706
,77,73.50280200658715
,77,73.44687658333382
,77,73.53424244488576
,78,73.72513944669377
,78,73.9422211583894
,78,74.21494202387598
,77,74.33919638943257
,77,74.44485218585478
,74,74.25759170081115
,69,74.01205748833056
,66,73.77512030564223
,64,73.56328090347655
,63,73.42847035149447
,62,73.35183512182164
,61,73.3094761873092
,60,73.3014606423624
,59,73.30256993652914
,58,73.33022625037185
,57,73.34118947618916
,57,73.3988772458203
,56,73.79298083631892
,55,74.44372052688628
,55,75.32311347757417
,55,76.41643917587145
,54,77.58703973717157
,54,78.85213158586082
,53,79.71509535318395
,53,80.62238168461309
,53,81.44036088969847
,52,82.31471281407215
,52,82.97152231183418
,52,83.67721232029862
,52,84.2096019529711
,51,84.76235250115579
,51,84.99980407428433
,51,85.20417363266588
,51,85.18810675908946
,50,85.16552725524377
,50,85.06353481334803
,50,85.02176630960176
,50,85.02071069095922
,49,85.12891160182045
,49,85.33452464317924
,49,85.68166215000514
,49,85.76364256729595
,49,85.82157634974632
,48,85.84157942843055
,49,85.92567108300646
,50,85.74788880094401
,51,85.50321786981092
,54,84.93623436179323
,56,84.31534273563996
,58,83.90312365572473
,59,83.6776506704129
,59,83.54331872518824
,58,83.53654666321867
,57,83.37698722162123
,56,83.25780966606163
,55,83.13615409046827
,55,83.09445715408759
,54,83.01149268551983
,53,82.99938885481332
,52,82.9730878479566
,52,83.04458364618752
,52,83.06393367266068
,51,83.18141150328736
,50,83.13648508953415
,50,83.14015291702097
,51,83.10833227709261
,54,83.16632868098789
,57,83.10427977501571
